id,Date,Content,author_id,username,author_name,retweet_count,like_count,reply_count,quote_count,impression_count,hashtags,mentions,urls,search_query,Clean_Content,Extracted_Hashtags,Word_Count,Char_Count,Sentence_Count
1000000272347783970,2026-06-14 12:56:41.806089,Using AI to refactor code is a game changer. Saved me 3 hours of debugging today. #programming #ChatGPT,2000214691,tech_guru,Alex L.,19,66,12,1,396,"['programming', 'chatgpt']",['neural_net'],['https://example.com/tech-news'],combined_queries,using refactor code game changer saved hour debugging today programming chatgpt,"['programming', 'chatgpt']",18,103,3
1000000709561685335,2026-06-14 13:21:36.869967,Unpopular opinion: ChatGPT is making developers lazy. We need to understand the fundamentals first.,2000550759,cyber_explorer,Sam M.,10,37,3,0,666,[],[],[],combined_queries,unpopular opinion chatgpt making developer lazy need understand fundamental first,[],14,99,3
1000000584433258690,2026-06-14 14:10:09.602812,Data privacy regulations like GDPR make big data analytics much more complicated but necessary. (Reviewing this in June 2026),2000540811,data_wizard,Taylor S.,4,13,1,0,260,[],['neural_net'],[],combined_queries,data privacy regulation gdpr make big data analytics much complicated necessary reviewing june,[],19,125,2
1000000357413516119,2026-06-14 14:21:24.883868,Loving Plotly for interactive dashboard visualizations. It makes data storytelling so much better. #DataAnalytics,2000543207,neural_net,Pat L.,1,7,1,0,119,['dataanalytics'],['stack_dev'],[],combined_queries,loving plotly interactive dashboard visualization make data storytelling much better dataanalytics,['dataanalytics'],14,113,3
1000000679759457133,2026-06-14 14:37:56.898093,Gradient descent is still the magic engine behind all these amazing breakthroughs in ML. #Mathematics,2000730400,neural_net,Pat S.,19,65,10,2,455,['mathematics'],[],[],combined_queries,gradient descent still magic engine behind amazing breakthrough mathematics,['mathematics'],15,101,2
1000000714395165507,2026-06-14 14:45:33.084765,Gradient descent is still the magic engine behind all these amazing breakthroughs in ML. #Mathematics (Reviewing this in June 2026),2000128634,stack_dev,Jamie L.,25,71,6,3,1420,['mathematics'],[],[],combined_queries,gradient descent still magic engine behind amazing breakthrough mathematics reviewing june,['mathematics'],20,131,2
1000000388361870214,2026-06-14 14:48:32.904631,"A/B testing is where the rubber meets the road in analytics. Don't rely on intuition, test it! #Analytics",2000789757,ai_pioneer,Morgan K.,4,32,5,0,352,['analytics'],[],[],combined_queries,testing rubber meet road analytics dont rely intuition test analytics,['analytics'],18,105,2
1000000345485713334,2026-06-14 14:52:28.510585,"Can AI truly replace creative writers? Some ChatGPT outputs feel quite generic, but others are brilliant. #AI #Creativity (Reviewing this in June 2026)",2000162939,code_ninja,Jordan K.,2,7,0,0,98,"['ai', 'creativity']",[],[],combined_queries,truly replace creative writer chatgpt output feel quite generic others brilliant creativity reviewing june,"['ai', 'creativity']",23,151,2
1000000730075697841,2026-06-14 15:39:47.225294,Just published my first research paper on reinforcement learning! Huge milestone. #DeepLearning #Research (Reviewing this in June 2026),2000326082,neural_net,Pat M.,3,28,2,0,336,"['deeplearning', 'research']",['algo_rider'],['https://example.com/tech-news'],combined_queries,published first research paper reinforcement learning huge milestone deeplearning research reviewing june,"['deeplearning', 'research']",18,135,2
1000000536206944787,2026-06-14 16:09:16.914786,"Bias in machine learning datasets is a major issue. Garbarge in, garbage out. #EthicsInAI #DataScience (Reviewing this in June 2026)",2000712495,cyber_explorer,Sam S.,19,57,10,1,1026,"['ethicsinai', 'datascience']",[],[],combined_queries,bias machine learning datasets major issue garbarge garbage ethicsinai datascience reviewing june,"['ethicsinai', 'datascience']",20,132,3
1000000918350086462,2026-06-14 17:39:23.305052,Data privacy regulations like GDPR make big data analytics much more complicated but necessary.,2000870020,byte_sized,Casey S.,2,7,0,0,140,[],['cloud_walker'],[],combined_queries,data privacy regulation gdpr make big data analytics much complicated necessary,[],14,95,2
1000000954597045270,2026-06-14 18:36:41.077343,Just published my first research paper on reinforcement learning! Huge milestone. #DeepLearning #Research,2000673230,cloud_walker,Robin M.,2,10,0,0,60,"['deeplearning', 'research']",[],[],combined_queries,published first research paper reinforcement learning huge milestone deeplearning research,"['deeplearning', 'research']",13,105,2
1000000629963953735,2026-06-14 18:48:20.542864,Supervised learning vs unsupervised learning - which one is more promising for real-world business problems? #ML,2000956691,code_ninja,Jordan S.,3,13,0,0,65,['ml'],[],[],combined_queries,supervised learning unsupervised learning promising realworld business problem,['ml'],16,112,1
1000000892105829671,2026-06-14 18:53:09.485765,What is the best way to get started with machine learning in 2026? PyTorch or TensorFlow? #ML #DataScience (Reviewing this in June 2026),2000996734,data_wizard,Taylor M.,2,7,0,0,98,"['ml', 'datascience']",[],[],combined_queries,best way started machine learning pytorch tensorflow datascience reviewing june,"['ml', 'datascience']",23,136,1
1000000500813824101,2026-06-14 19:38:26.192105,Using AI to refactor code is a game changer. Saved me 3 hours of debugging today. #programming #ChatGPT (Reviewing this in June 2026),2000932858,data_wizard,Taylor S.,3,16,2,0,240,"['programming', 'chatgpt']",['stack_dev'],[],combined_queries,using refactor code game changer saved hour debugging today programming chatgpt reviewing june,"['programming', 'chatgpt']",23,133,3
1000000399942926275,2026-06-14 21:20:55.323236,Sql is still the most important tool in a data scientist's toolkit. Change my mind. #SQL #DataScience,2000542172,cyber_explorer,Sam K.,1,10,0,0,180,"['sql', 'datascience']",[],['https://example.com/tech-news'],combined_queries,sql still important tool data scientist toolkit change mind sql datascience,"['sql', 'datascience']",17,101,3
1000000651230322354,2026-06-14 21:23:24.566911,Building a new SaaS using OpenAI APIs. The developer tools and documentation are top notch. (Reviewing this in June 2026),2000728639,neural_net,Pat J.,0,3,0,0,54,[],[],[],combined_queries,building new saas using openai apis developer tool documentation top notch reviewing june,[],20,121,3
