id,Date,Content,author_id,username,author_name,retweet_count,like_count,reply_count,quote_count,impression_count,hashtags,mentions,urls,search_query,Clean_Content,Extracted_Hashtags,Word_Count,Char_Count,Sentence_Count
1000000225943633020,2026-06-15 12:40:33.864969,AI is not a bubble; it is the infrastructure for the next century of software. #MachineLearning #OpenAI,2000811769,code_ninja,Jordan L.,2,20,3,0,360,"['machinelearning', 'openai']",[],[],combined_queries,bubble infrastructure next century software machinelearning openai,"['machinelearning', 'openai']",17,103,2
1000000265725283173,2026-06-15 12:49:04.421075,Just had a mind-blowing session with ChatGPT! The reasoning capabilities are getting insanely good. #AI #Tech,2000462284,neural_net,Pat J.,6,36,3,0,396,"['ai', 'tech']",[],['https://example.com/tech-news'],combined_queries,mindblowing session chatgpt reasoning capability getting insanely good tech,"['ai', 'tech']",16,109,2
1000000641374999331,2026-06-15 13:28:23.412632,Data analyst vs Data scientist - the industry still struggles to define the difference clearly. #Career,2000174041,ai_pioneer,Morgan M.,0,4,0,0,24,['career'],[],[],combined_queries,data analyst data scientist industry still struggle define difference clearly career,['career'],16,103,2
1000000552652753930,2026-06-15 14:20:00.537511,A clean dataset is worth more than a fancy model. Spend time on data cleaning! #DataScience #DataAnalytics,2000801561,tech_guru,Alex K.,5,17,1,0,153,"['datascience', 'dataanalytics']",[],[],combined_queries,clean dataset worth fancy model spend time data cleaning datascience dataanalytics,"['datascience', 'dataanalytics']",17,106,2
1000000564817075887,2026-06-15 14:28:07.258468,What is the best way to get started with machine learning in 2026? PyTorch or TensorFlow? #ML #DataScience,2000351801,algo_rider,Riley J.,22,70,13,3,1260,"['ml', 'datascience']",[],[],combined_queries,best way started machine learning pytorch tensorflow datascience,"['ml', 'datascience']",18,106,1
1000000332703613124,2026-06-15 14:33:42.865762,"Bias in machine learning datasets is a major issue. Garbarge in, garbage out. #EthicsInAI #DataScience",2000461227,algo_rider,Riley L.,3,13,1,0,234,"['ethicsinai', 'datascience']",[],['https://example.com/tech-news'],combined_queries,bias machine learning datasets major issue garbarge garbage ethicsinai datascience,"['ethicsinai', 'datascience']",15,102,3
1000000601032348239,2026-06-15 14:39:43.556407,"Seaborn makes beautiful static plots, but dynamic dashboards need Plotly or Streamlit. #Python #DataViz (Reviewing this in June 2026)",2000120122,tech_guru,Alex L.,1,9,0,0,126,"['python', 'dataviz']",[],[],combined_queries,seaborn make beautiful static plot dynamic dashboard need plotly streamlit python dataviz reviewing june,"['python', 'dataviz']",19,133,2
1000000144570070658,2026-06-15 15:19:14.508361,Training a convolutional neural network (CNN) on my laptop and the fans are ready for takeoff 🚀 #DeepLearning,2000386277,cyber_explorer,Sam J.,17,45,4,2,315,['deeplearning'],[],[],combined_queries,training convolutional neural network cnn laptop fan ready takeoff deeplearning,['deeplearning'],18,109,1
1000000550540673969,2026-06-15 15:34:37.205241,Building a new SaaS using OpenAI APIs. The developer tools and documentation are top notch.,2000290714,cloud_walker,Robin S.,0,1,0,0,15,[],['code_ninja'],[],combined_queries,building new saas using openai apis developer tool documentation top notch,[],15,91,3
1000000193819325921,2026-06-15 16:30:25.523816,Just had a mind-blowing session with ChatGPT! The reasoning capabilities are getting insanely good. #AI #Tech (Reviewing this in June 2026),2000211606,neural_net,Pat M.,5,33,5,0,330,"['ai', 'tech']",['neural_net'],[],combined_queries,mindblowing session chatgpt reasoning capability getting insanely good tech reviewing june,"['ai', 'tech']",21,139,2
1000000135844894203,2026-06-15 17:13:14.015741,Supervised learning vs unsupervised learning - which one is more promising for real-world business problems? #ML (Reviewing this in June 2026),2000496183,tech_guru,Alex M.,9,62,8,1,868,['ml'],['byte_sized'],[],combined_queries,supervised learning unsupervised learning promising realworld business problem reviewing june,['ml'],21,142,1
1000000800219517904,2026-06-15 18:16:46.858650,Data analyst vs Data scientist - the industry still struggles to define the difference clearly. #Career (Reviewing this in June 2026),2000521507,tech_guru,Alex K.,28,80,10,5,1120,['career'],[],[],combined_queries,data analyst data scientist industry still struggle define difference clearly career reviewing june,['career'],21,133,2
1000000378195855535,2026-06-15 18:52:59.290317,Using AI to refactor code is a game changer. Saved me 3 hours of debugging today. #programming #ChatGPT (Reviewing this in June 2026),2000833827,tech_guru,Alex M.,1,11,0,0,154,"['programming', 'chatgpt']",['code_ninja'],[],combined_queries,using refactor code game changer saved hour debugging today programming chatgpt reviewing june,"['programming', 'chatgpt']",23,133,3
1000000690780840600,2026-06-15 19:06:50.266698,Just published my first research paper on reinforcement learning! Huge milestone. #DeepLearning #Research (Reviewing this in June 2026),2000848169,algo_rider,Riley J.,2,8,1,0,48,"['deeplearning', 'research']",[],[],combined_queries,published first research paper reinforcement learning huge milestone deeplearning research reviewing june,"['deeplearning', 'research']",18,135,2
